<DATE>,<TICKER>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOLUME>
05/23/2023,TPB,23700,24100,23700,23700,4100800
05/24/2023,TPB,23900,23950,23500,23500,1902400
05/25/2023,TPB,23600,23700,23300,23400,987500
05/26/2023,TPB,23700,23700,23400,23650,1359200
05/29/2023,TPB,23950,24450,23700,24300,6814100
05/30/2023,TPB,24550,24550,23900,24100,2890900
05/31/2023,TPB,24450,25200,24250,25000,11085500
06/01/2023,TPB,25300,26150,25000,26150,13565100
06/02/2023,TPB,25750,26850,25750,26300,12079200
06/05/2023,TPB,27500,27500,26000,26100,9601600
06/06/2023,TPB,26100,26350,25550,25800,10016600
06/07/2023,TPB,26000,26350,25750,26250,9305100
06/08/2023,TPB,26350,26350,25600,25600,7731800
06/09/2023,TPB,18700,19000,18500,18650,7729200
06/12/2023,TPB,18750,18750,18250,18400,2665800
06/13/2023,TPB,18500,18500,18150,18150,3059200
06/14/2023,TPB,18200,18450,18150,18150,3719300
06/15/2023,TPB,18200,18200,18050,18150,2761300
06/16/2023,TPB,18150,18400,18150,18200,4859900
06/19/2023,TPB,18250,18300,18100,18300,1542700
06/20/2023,TPB,18300,18350,18150,18250,2285700
06/21/2023,TPB,18300,18400,18250,18400,4232500
06/22/2023,TPB,18600,18750,18400,18400,5292600
06/23/2023,TPB,18450,18650,18350,18500,6148700
06/26/2023,TPB,18550,18650,18250,18450,3352300
06/27/2023,TPB,18450,18500,18250,18400,2754100
06/28/2023,TPB,18400,18450,18300,18450,3332900
06/29/2023,TPB,18500,18500,18100,18100,3935500
06/30/2023,TPB,18100,18150,18000,18000,2644200
07/03/2023,TPB,18250,18250,18050,18150,2903600
07/04/2023,TPB,18200,18250,18100,18150,1808300
07/05/2023,TPB,18200,18250,18100,18100,3935100
07/06/2023,TPB,18100,18200,18000,18200,4455200
07/07/2023,TPB,18050,18200,17950,18050,4757800
07/10/2023,TPB,18100,18250,18000,18200,5894900
07/11/2023,TPB,18300,18600,18200,18300,8860800
07/12/2023,TPB,18400,18400,18150,18150,3904900
07/13/2023,TPB,18200,18300,18100,18250,4690600
07/14/2023,TPB,18250,18300,18050,18150,3857600
07/17/2023,TPB,18150,18250,18100,18250,4226300
07/18/2023,TPB,18250,18950,18200,18950,24802600
07/19/2023,TPB,19000,19100,18650,18700,9348200
07/20/2023,TPB,18700,18800,18400,18800,11167500
07/21/2023,TPB,18700,18950,18600,18750,9105000
07/24/2023,TPB,18700,18800,18450,18650,7040500
07/25/2023,TPB,18650,19250,18600,19000,13353600
07/26/2023,TPB,19000,19000,18700,18800,6632400
07/27/2023,TPB,18800,18850,18400,18550,6659700
07/28/2023,TPB,18500,18800,18450,18700,7177700
07/31/2023,TPB,18650,18850,18600,18750,5197200
08/01/2023,TPB,18800,19250,18750,18800,14475300
08/02/2023,TPB,18750,19000,18700,18900,6633500
08/03/2023,TPB,18900,19000,18400,18450,6907200
08/04/2023,TPB,18600,19000,18450,18950,12267000
08/07/2023,TPB,19000,19450,18950,19300,17746100
08/08/2023,TPB,19400,19400,18950,19000,6314100
08/09/2023,TPB,19050,19100,18750,18850,5495600
08/10/2023,TPB,18850,18900,18450,18500,5798400
08/11/2023,TPB,18550,18650,18250,18650,5338000
08/14/2023,TPB,18650,18700,18500,18650,5485400
08/15/2023,TPB,18700,19150,18550,19000,12072000
08/16/2023,TPB,19000,19150,18800,19100,8494700
08/17/2023,TPB,19100,19150,18800,18850,5848800
08/18/2023,TPB,18750,18800,18000,18100,11563300
08/21/2023,TPB,18300,18600,18050,18500,8195100
08/22/2023,TPB,18400,18600,18200,18550,4103300
08/23/2023,TPB,18650,18650,18350,18500,5560400
08/24/2023,TPB,18500,18900,18350,18800,10067900
08/25/2023,TPB,18700,18850,18600,18850,3737000
08/28/2023,TPB,18950,19050,18800,19000,7206500
08/29/2023,TPB,19000,19100,18850,19000,6935300
08/30/2023,TPB,19000,19550,19000,19550,21992900
08/31/2023,TPB,19650,19700,19350,19600,5939500
09/05/2023,TPB,19700,19850,19600,19650,9227200
09/06/2023,TPB,19650,19750,19150,19750,11948100
09/07/2023,TPB,19800,20100,19550,19650,16379000
09/08/2023,TPB,19650,19700,19400,19400,6024300
09/11/2023,TPB,19500,19600,18900,18950,10189800
09/12/2023,TPB,18950,19200,18800,19200,9025800
09/13/2023,TPB,19250,19350,18950,19250,5524300
09/14/2023,TPB,19250,19500,19000,19000,5652300
09/15/2023,TPB,19200,19300,19050,19200,4832500
09/18/2023,TPB,19200,19200,18800,18950,5313200
09/19/2023,TPB,18800,19100,18750,19050,6063000
09/20/2023,TPB,18950,19600,18850,19500,14284100
09/21/2023,TPB,19500,19550,19050,19050,5544300
09/22/2023,TPB,18850,18950,18350,18550,8917400
09/25/2023,TPB,18550,18700,18000,18000,6148800
09/26/2023,TPB,18000,18250,17700,17700,7202100
09/27/2023,TPB,17700,17850,17400,17800,5750800
09/28/2023,TPB,17800,18100,17250,18050,6388200
09/29/2023,TPB,18050,18100,17800,17850,3984200
10/02/2023,TPB,17850,17900,17500,17500,4168100
10/03/2023,TPB,17400,17400,16700,16700,7810600
10/04/2023,TPB,16500,17000,16500,16600,3541500
10/05/2023,TPB,16900,16900,16500,16550,3336200
10/06/2023,TPB,16550,16850,16500,16800,4441500
10/09/2023,TPB,16800,17050,16700,16850,4907100
10/10/2023,TPB,17000,17000,16750,16750,4293100
10/11/2023,TPB,16800,16850,16650,16750,3217900
10/12/2023,TPB,16850,17200,16750,17200,5222800
10/13/2023,TPB,17000,17350,16950,17250,7508500
10/16/2023,TPB,17200,17200,16750,16800,4724900
10/17/2023,TPB,16800,16950,16500,16500,3429200
10/18/2023,TPB,16550,16600,15950,16250,5437800
10/19/2023,TPB,16250,16300,16050,16150,2472900
10/20/2023,TPB,16100,16550,16100,16500,2685900
10/23/2023,TPB,16500,16750,16350,16450,4555200
10/24/2023,TPB,16500,16850,16450,16800,4260800
10/25/2023,TPB,16800,16900,16600,16750,4184700
10/26/2023,TPB,16400,16600,15650,16000,6938900
10/27/2023,TPB,16000,16300,15900,16200,2254000
10/30/2023,TPB,16200,16350,16000,16000,4288500
10/31/2023,TPB,16100,16100,15800,15800,2935200
11/01/2023,TPB,15950,15950,15600,15800,3183400
11/02/2023,TPB,16050,16700,16050,16400,7603800
11/03/2023,TPB,16600,16650,16050,16050,5735600
11/06/2023,TPB,16450,16750,16200,16600,4380500
11/07/2023,TPB,16500,16750,16450,16550,3707700
11/08/2023,TPB,16550,17500,16500,17250,8610200
11/09/2023,TPB,17350,17450,17050,17100,5483600
11/10/2023,TPB,17000,17300,16900,17000,5916200
11/13/2023,TPB,17000,17250,16900,17250,4233300
11/14/2023,TPB,17500,17850,17250,17400,12503700
11/15/2023,TPB,17450,17900,17400,17700,9714000
11/16/2023,TPB,17600,17600,17250,17500,5219100
11/17/2023,TPB,17500,17650,16900,17000,7432100
11/20/2023,TPB,16700,17400,16650,17200,4721200
11/21/2023,TPB,17200,17400,17000,17050,2615500
11/22/2023,TPB,17050,17200,17000,17100,2304200
11/23/2023,TPB,17200,17400,17000,17000,6954700
11/24/2023,TPB,17050,17050,16750,17000,3548100
11/27/2023,TPB,16950,17000,16650,16650,3113700
11/28/2023,TPB,16650,16850,16500,16750,2505600
11/29/2023,TPB,16750,16950,16700,16850,2466900
11/30/2023,TPB,16750,17100,16750,17000,8676600
12/01/2023,TPB,17050,17150,16850,17100,9186800
12/04/2023,TPB,17150,17450,17100,17200,11159100
12/05/2023,TPB,17250,17250,17050,17050,4489600
12/06/2023,TPB,17100,17600,17050,17450,14002600
12/07/2023,TPB,17500,17600,17250,17550,15077100
12/08/2023,TPB,17500,17700,17400,17450,4736000
12/11/2023,TPB,17450,17550,17350,17350,4330200
12/12/2023,TPB,17400,17450,17250,17350,2415200
12/13/2023,TPB,17400,17400,17000,17000,3334000
12/14/2023,TPB,17100,17200,16850,16900,3328300
12/15/2023,TPB,17000,17050,16850,16950,3379900
12/18/2023,TPB,16900,17000,16750,16900,3076300
12/19/2023,TPB,16800,17000,16750,17000,2428400
12/20/2023,TPB,16900,17000,16850,16900,2824600
12/21/2023,TPB,16900,16900,16700,16900,2096800
12/22/2023,TPB,16900,16950,16750,16900,2372900
12/25/2023,TPB,16900,17100,16900,17050,2546800
12/26/2023,TPB,17100,17100,16950,17000,2029300
12/27/2023,TPB,17000,17350,17000,17350,5355700
12/28/2023,TPB,17300,17350,17150,17300,3898200
12/29/2023,TPB,17400,17450,17250,17400,3046800
01/02/2024,TPB,17450,17500,17250,17300,6970700
01/03/2024,TPB,17250,17450,17100,17450,7154500
01/04/2024,TPB,17500,18200,17400,17900,30598000
01/05/2024,TPB,17900,18150,17750,18000,11024500
01/08/2024,TPB,18200,18200,17800,17950,10132200
01/09/2024,TPB,18000,18050,17700,17750,10503800
01/10/2024,TPB,17800,18600,17750,18500,24216600
01/11/2024,TPB,18500,19000,18350,18500,18114600
01/12/2024,TPB,18350,18800,18150,18550,18899600
01/15/2024,TPB,18750,18800,18300,18300,6963100
01/16/2024,TPB,18200,18600,18200,18600,9333300
01/17/2024,TPB,18550,18700,18350,18350,7453000
01/18/2024,TPB,18350,18450,18200,18450,5369000
01/19/2024,TPB,18450,18650,18400,18600,5649500
01/22/2024,TPB,18600,18700,18450,18650,8796900
01/23/2024,TPB,18650,18800,18500,18600,9420200
01/24/2024,TPB,18550,18550,18250,18300,9177000
01/25/2024,TPB,18300,18300,18150,18150,5630100
01/26/2024,TPB,18200,18500,18150,18300,3898400
01/29/2024,TPB,18300,18400,18150,18150,2947500
01/30/2024,TPB,18150,18450,18150,18300,7021600
01/31/2024,TPB,18450,18450,17800,17850,8855600
02/01/2024,TPB,17850,18050,17800,17850,5055900
02/02/2024,TPB,17900,17950,17500,17500,9172100
02/05/2024,TPB,17500,18250,17500,18150,18712100
02/06/2024,TPB,18250,18350,18100,18100,9956100
02/07/2024,TPB,18100,18600,18100,18500,14675200
02/15/2024,TPB,18650,19150,18600,18850,25897300
02/16/2024,TPB,18900,19050,18800,18900,14361000
02/19/2024,TPB,18900,18950,18650,18800,8778700
02/20/2024,TPB,18750,18850,18650,18750,9312600
02/21/2024,TPB,18750,19500,18550,19500,31792400
02/22/2024,TPB,19500,19750,19200,19550,15643700
02/23/2024,TPB,19600,20100,19100,19100,43600000
02/26/2024,TPB,19050,19300,18950,19150,8201000
02/27/2024,TPB,19150,19300,18850,19150,15268600
02/28/2024,TPB,19250,20000,19100,20000,25599800
02/29/2024,TPB,20000,20250,19700,19850,30155900
03/01/2024,TPB,19850,19950,19550,19850,14281200
03/04/2024,TPB,19900,19950,19500,19600,15039300
03/05/2024,TPB,19600,19600,19300,19400,12293300
03/06/2024,TPB,19400,19650,19100,19200,10014300
03/07/2024,TPB,19350,19350,19150,19250,9134900
03/08/2024,TPB,19250,19300,18600,18600,22061000
03/11/2024,TPB,18550,18800,18400,18500,11033100
03/12/2024,TPB,18500,18700,18450,18500,7979800
03/13/2024,TPB,18500,19000,18450,19000,7641800
03/14/2024,TPB,19000,19050,18600,18750,7674300
03/15/2024,TPB,18700,19000,18450,18800,8997700
03/18/2024,TPB,19000,19000,17700,18300,13698800
03/19/2024,TPB,18300,18400,18200,18200,4381200
03/20/2024,TPB,18200,18750,17950,18600,15977100
03/21/2024,TPB,18800,18850,18500,18750,9181400
03/22/2024,TPB,18800,19250,18650,18750,17965600
03/25/2024,TPB,18800,19250,18700,19000,17580600
03/26/2024,TPB,19000,19200,18900,19150,10841600
03/27/2024,TPB,19200,19250,19000,19200,6029000
03/28/2024,TPB,19400,19500,19000,19100,10132800
03/29/2024,TPB,19200,19200,19000,19100,5775400
04/01/2024,TPB,19000,19050,18650,18750,10017500
04/02/2024,TPB,18650,18850,18300,18850,10357500
04/03/2024,TPB,18800,18800,18450,18500,8201800
04/04/2024,TPB,18500,18550,18300,18400,11405700
04/05/2024,TPB,18200,18350,18100,18200,9629700
04/08/2024,TPB,18200,18600,18100,18250,11665800
04/09/2024,TPB,18350,18600,18150,18600,4445600
04/10/2024,TPB,18650,18650,18350,18350,4267500
04/11/2024,TPB,18100,18350,18100,18350,6870000
04/12/2024,TPB,18350,18700,18250,18700,10980100
04/15/2024,TPB,18450,18650,17500,17500,12288000
04/16/2024,TPB,17500,17750,17000,17600,16793400
04/17/2024,TPB,17700,17700,17000,17000,6196500
04/19/2024,TPB,16950,17100,16400,16600,8460400
04/22/2024,TPB,17000,17550,16800,17500,12634100
04/23/2024,TPB,17400,17600,17150,17250,6323700
04/24/2024,TPB,17550,18000,17500,18000,11888100
04/25/2024,TPB,17950,18000,17700,17950,4944200
04/26/2024,TPB,17650,17950,17650,17900,3090800
05/02/2024,TPB,17900,17950,17650,17650,1667000
05/03/2024,TPB,17750,17900,17500,17500,7855100
05/06/2024,TPB,17700,17900,17600,17800,4036600
05/07/2024,TPB,17850,17850,17600,17750,2573500
05/08/2024,TPB,17700,17800,17550,17750,4167200
05/09/2024,TPB,17800,18400,17700,18150,15535600
05/10/2024,TPB,18200,18300,18000,18100,8319000
05/13/2024,TPB,18100,18350,17900,18000,5842600
05/14/2024,TPB,18050,18200,17900,18000,4385800
05/15/2024,TPB,18200,18200,17900,17950,9486200
05/16/2024,TPB,18200,18400,18000,18350,9637600
05/17/2024,TPB,18400,18650,18250,18400,12133500
05/20/2024,TPB,18400,18600,18400,18450,13761500
05/21/2024,TPB,18500,18500,18200,18350,4448700
05/22/2024,TPB,18400,18450,18100,18150,6154000
05/23/2024,TPB,18150,18300,18050,18300,5060500
